x cod0 cod1 cod2 cod3 cod4 cod5 cod6 cod7 cod8 cod9
-1.9088 2.5101690193857437e-12 -9.282867027789927e-12 -6.921798350285595e-12 -5.15507711775522e-12 -8.811512708738316e-12 -5.444683647878576e-12 -7.818779172922341e-12 -9.867870968179001e-12 -9.034433947705274e-12 -6.957167098163401e-12
-1.9072 2.554180324367508e-12 -9.446680336523057e-12 -7.044517776567512e-12 -5.24652630700044e-12 -8.967572321970998e-12 -5.5407333624849854e-12 -7.95707865304242e-12 -1.0042264612211601e-11 -9.1946620583149e-12 -7.08019612044449e-12
-1.9056 2.5981907070047935e-12 -9.610526610513291e-12 -7.167281491384083e-12 -5.338010297618452e-12 -9.123682682478655e-12 -5.636801316707056e-12 -8.095417026806738e-12 -1.021670215626941e-11 -9.354949798904583e-12 -7.203258710282666e-12
-1.904 2.6422001672975978e-12 -9.774405849760632e-12 -7.290089494735309e-12 -5.429529089609251e-12 -9.279843790261286e-12 -5.732887510544782e-12 -8.233794294215292e-12 -1.039118360035244e-11 -9.515297169474341e-12 -7.326354867677925e-12
-1.9024 2.6862087052459166e-12 -9.938318054265064e-12 -7.412941786621173e-12 -5.521082682972832e-12 -9.436055645318862e-12 -5.8289919439981605e-12 -8.37221045526805e-12 -1.0565708944460654e-11 -9.675704170024118e-12 -7.44948459263025e-12
-1.9008 2.7302163208497626e-12 -1.0102263224026618e-11 -7.535838367041702e-12 -5.612671077709209e-12 -9.592318247651424e-12 -5.92511461706721e-12 -8.510665509965073e-12 -1.0740278188594114e-11 -9.836170800553996e-12 -7.572647885139676e-12
-1.8992 2.7742230141091284e-12 -1.0266241359045287e-11 -7.658779235996896e-12 -5.70429427381838e-12 -9.748631597258965e-12 -6.021255529751923e-12 -8.649159458306331e-12 -1.0914891332752789e-11 -9.99669706106393e-12 -7.695844745206183e-12
-1.8976 2.818228785024014e-12 -1.0430252459321053e-11 -7.781764393486737e-12 -5.795952271300336e-12 -9.904995694141478e-12 -6.117414682052296e-12 -8.787692300291824e-12 -1.1089548376936667e-11 -1.0157282951553932e-11 -7.819075172829772e-12
-1.896 2.862233633594419e-12 -1.0594296524853937e-11 -7.904793839511233e-12 -5.887645070155095e-12 -1.0061410538298946e-11 -6.213592073968326e-12 -8.926264035921551e-12 -1.1264249321145763e-11 -1.0317928472023993e-11 -7.94233916801045e-12
-1.8944 2.9062375598203385e-12 -1.0758373555643899e-11 -8.027867574070367e-12 -5.979372670382621e-12 -1.0217876129731374e-11 -6.309787705500003e-12 -9.064874665195499e-12 -1.143899416538005e-11 -1.0478633622474095e-11 -8.065636730748186e-12
-1.8928 2.9502405637017853e-12 -1.0922483551690995e-11 -8.150985597164172e-12 -6.0711350719829515e-12 -1.0374392468438791e-11 -6.406001576647356e-12 -9.203524188113704e-12 -1.1613782909639572e-11 -1.0639398402904286e-11 -8.188967861043028e-12
